tweet_id,created_at,username,platform,tweet_text,likes,retweets,country,date,hour,weekday,tweet_text_raw
t012,2026-08-12 12:10:00,bob_22,Web,"Not happy with the latest change, it takes forever to open.",407.0,51.0,United States,2026-08-12,12,Wednesday,"Not happy with the latest change, it takes forever to open."
t013,2026-08-01 08:24:00,carol,Web,Just installed the update and exploring the settings.,24.0,62.0,United Kingdom,2026-08-01,8,Saturday,Just installed the update and exploring the settings.
t014,2026-08-02 00:00:00,david,Mobile,Customer support was fantastic today. Thanks @support!,61.0,3.0,Canada,2026-08-02,0,Sunday,Customer support was fantastic today. Thanks @support!
t015,2026-08-03 00:00:00,emma,Mobile,Battery drain is awful after version 3.1 😞,98.0,14.0,United States,2026-08-03,0,Monday,Battery drain is awful after version 3.1 😞
t016,2026-08-04 12:10:00,frank,Mobile,The feature is okay; I need more time to use it.,135.0,25.0,United Kingdom,2026-08-04,12,Tuesday,The feature is okay; I need more time to use it.
t017,2026-08-05 12:52:00,grace,iOS,Wow!!! The recommendations are surprisingly good.,172.0,36.0,Canada,2026-08-05,12,Wednesday,Wow!!! The recommendations are surprisingly good.
t018,2026-08-06 00:00:00,henry,iOS,Cannot upload my file... error 500 again!!!,208.0,47.0,United States,2026-08-06,0,Thursday,Cannot upload my file... error 500 again!!!
t019,2026-08-07 00:00:00,ivy,Android,Checking out the release notes at https://example.org/release,246.0,58.0,United States,2026-08-07,0,Friday,Checking out the release notes at https://example.org/release
t020,2026-08-08 12:10:00,jack,Android,Love how simple this feels now ❤️,283.0,69.0,United Kingdom,2026-08-08,12,Saturday,Love how simple this feels now ❤️
t021,2026-08-09 16:20:00,alice,Web,Notifications are way too frequent and annoying.,320.0,10.0,United States,2026-08-09,16,Sunday,Notifications are way too frequent and annoying.
t023,2026-08-11 00:00:00,carol,Web,The new chart is beautiful and easy to understand.,394.0,32.0,United Kingdom,2026-08-11,0,Tuesday,The new chart is beautiful and easy to understand.
t024,2026-08-12 12:10:00,david,Mobile,Search results look worse than before :(,11.0,43.0,Canada,2026-08-12,12,Wednesday,Search results look worse than before :(
t025,2026-08-01 08:48:00,emma,Mobile,Testing on my phone during lunch #testing,48.0,54.0,United States,2026-08-01,8,Saturday,Testing on my phone during lunch #testing
t027,2026-08-03 00:00:00,grace,iOS,The update is terrible... app crashed twice. https://example.com/help,122.0,6.0,Canada,2026-08-03,0,Monday,The update is terrible... app crashed twice. https://example.com/help
t028,2026-08-04 12:10:00,henry,iOS,Trying the new feature today. Not sure what I think yet.,159.0,17.0,United States,2026-08-04,12,Tuesday,Trying the new feature today. Not sure what I think yet.
t029,2026-08-05 12:16:00,ivy,Android,Great work @team!!! Version 2.0 feels much smoother #update,196.0,28.0,United States,2026-08-05,12,Wednesday,Great work @team!!! Version 2.0 feels much smoother #update
t030,2026-08-06 00:00:00,jack,Android,Why is login still broken??? This is so frustrating 😡,233.0,39.0,United Kingdom,2026-08-06,0,Thursday,Why is login still broken??? This is so frustrating 😡
t031,2026-08-07 00:00:00,alice,Web,Downloaded it. Will test later.,1200.0,50.0,United States,2026-08-07,0,Friday,Downloaded it. Will test later.
t032,2026-08-08 12:10:00,bob_22,Web,"Amazing service, thank you!!!",307.0,61.0,United States,2026-08-08,12,Saturday,"Amazing service, thank you!!!"
t033,2026-08-09 16:44:00,carol,Web,Support never replied to my email. disappointed.,344.0,2.0,United Kingdom,2026-08-09,16,Sunday,Support never replied to my email. disappointed.
t034,2026-08-10 00:00:00,david,Mobile,New interface launched today #design,381.0,13.0,Canada,2026-08-10,0,Monday,New interface launched today #design
t035,2026-08-11 00:00:00,emma,Mobile,The search works sooo much better now!!! 10/10,418.0,24.0,United States,2026-08-11,0,Tuesday,The search works sooo much better now!!! 10/10
t036,2026-08-12 12:10:00,frank,Mobile,Really enjoying the cleaner layout and quicker loading time! #product,35.0,0.0,United Kingdom,2026-08-12,12,Wednesday,Really enjoying the cleaner layout and quicker loading time! #product
t037,2026-08-01 08:12:00,grace,iOS,"Not happy with the latest change, it takes forever to open.",72.0,46.0,Canada,2026-08-01,8,Saturday,"Not happy with the latest change, it takes forever to open."
t038,2026-08-02 00:00:00,henry,iOS,Just installed the update and exploring the settings.,109.0,57.0,United States,2026-08-02,0,Sunday,Just installed the update and exploring the settings.
t039,2026-08-03 00:00:00,ivy,Android,Customer support was fantastic today. Thanks @support!,146.0,68.0,United States,2026-08-03,0,Monday,Customer support was fantastic today. Thanks @support!
t040,2026-08-04 12:10:00,jack,Android,Battery drain is awful after version 3.1 😞,183.0,9.0,United Kingdom,2026-08-04,12,Tuesday,Battery drain is awful after version 3.1 😞
t041,2026-08-05 12:40:00,alice,Web,The feature is okay; I need more time to use it.,220.0,20.0,United States,2026-08-05,12,Wednesday,The feature is okay; I need more time to use it.
t042,2026-08-06 00:00:00,bob_22,Web,Wow!!! The recommendations are surprisingly good.,257.0,31.0,United States,2026-08-06,0,Thursday,Wow!!! The recommendations are surprisingly good.
t043,2026-08-07 00:00:00,carol,Web,Cannot upload my file... error 500 again!!!,294.0,42.0,United Kingdom,2026-08-07,0,Friday,Cannot upload my file... error 500 again!!!
t044,2026-08-08 12:10:00,david,Mobile,Checking out the release notes at https://example.org/release,331.0,53.0,Canada,2026-08-08,12,Saturday,Checking out the release notes at https://example.org/release
t045,2026-08-09 16:08:00,emma,Mobile,Love how simple this feels now ❤️,368.0,64.0,United States,2026-08-09,16,Sunday,Love how simple this feels now ❤️
t046,2026-08-10 00:00:00,frank,Mobile,Notifications are way too frequent and annoying.,405.0,5.0,United Kingdom,2026-08-10,0,Monday,Notifications are way too frequent and annoying.
t047,2026-08-11 00:00:00,grace,iOS,Nothing major changed for me today.,22.0,16.0,Canada,2026-08-11,0,Tuesday,Nothing major changed for me today.
t048,2026-08-12 12:10:00,henry,iOS,The new chart is beautiful and easy to understand.,59.0,27.0,United States,2026-08-12,12,Wednesday,The new chart is beautiful and easy to understand.
