tweet_id,created_at,date,hour,weekday,username,platform,country,tweet_text_raw,likes,retweets,sentiment_score,sentiment
t023,2026-08-11 00:00:00,2026-08-11,0,Tuesday,carol,Web,United Kingdom,The new chart is beautiful and easy to understand.,394.0,32.0,0.9822680226061493,Positive
t024,2026-08-12 12:10:00,2026-08-12,12,Wednesday,david,Mobile,Canada,Search results look worse than before :(,11.0,43.0,-0.9320732592605054,Negative
t025,2026-08-01 08:48:00,2026-08-01,8,Saturday,emma,Mobile,United States,Testing on my phone during lunch #testing,48.0,54.0,0.17124787904322147,Neutral
t027,2026-08-03 00:00:00,2026-08-03,0,Monday,grace,iOS,Canada,The update is terrible... app crashed twice. https://example.com/help,122.0,6.0,-0.9448260813951492,Negative
t028,2026-08-04 12:10:00,2026-08-04,12,Tuesday,henry,iOS,United States,Trying the new feature today. Not sure what I think yet.,159.0,17.0,0.05710747838020325,Neutral
t029,2026-08-05 12:16:00,2026-08-05,12,Wednesday,ivy,Android,United States,Great work @team!!! Version 2.0 feels much smoother #update,196.0,28.0,0.9846684343647212,Positive
t030,2026-08-06 00:00:00,2026-08-06,0,Thursday,jack,Android,United Kingdom,Why is login still broken??? This is so frustrating 😡,233.0,39.0,-0.9470731867477298,Negative
t031,2026-08-07 00:00:00,2026-08-07,0,Friday,alice,Web,United States,Downloaded it. Will test later.,1200.0,50.0,0.13983459118753672,Neutral
t032,2026-08-08 12:10:00,2026-08-08,12,Saturday,bob_22,Web,United States,"Amazing service, thank you!!!",307.0,61.0,0.9774291249923408,Positive
t033,2026-08-09 16:44:00,2026-08-09,16,Sunday,carol,Web,United Kingdom,Support never replied to my email. disappointed.,344.0,2.0,-0.9160328106954694,Negative
t034,2026-08-10 00:00:00,2026-08-10,0,Monday,david,Mobile,Canada,New interface launched today #design,381.0,13.0,0.7298029507510364,Positive
t035,2026-08-11 00:00:00,2026-08-11,0,Tuesday,emma,Mobile,United States,The search works sooo much better now!!! 10/10,418.0,24.0,0.975101538002491,Positive
t036,2026-08-12 12:10:00,2026-08-12,12,Wednesday,frank,Mobile,United Kingdom,Really enjoying the cleaner layout and quicker loading time! #product,35.0,0.0,0.979597192723304,Positive
t037,2026-08-01 08:12:00,2026-08-01,8,Saturday,grace,iOS,Canada,"Not happy with the latest change, it takes forever to open.",72.0,46.0,-0.9157063001766801,Negative
t038,2026-08-02 00:00:00,2026-08-02,0,Sunday,henry,iOS,United States,Just installed the update and exploring the settings.,109.0,57.0,0.15693144220858812,Neutral
t039,2026-08-03 00:00:00,2026-08-03,0,Monday,ivy,Android,United States,Customer support was fantastic today. Thanks @support!,146.0,68.0,0.9818303738720715,Positive
t040,2026-08-04 12:10:00,2026-08-04,12,Tuesday,jack,Android,United Kingdom,Battery drain is awful after version 3.1 😞,183.0,9.0,-0.9256505891680717,Negative
t041,2026-08-05 12:40:00,2026-08-05,12,Wednesday,alice,Web,United States,The feature is okay; I need more time to use it.,220.0,20.0,0.7542552668601274,Positive
t042,2026-08-06 00:00:00,2026-08-06,0,Thursday,bob_22,Web,United States,Wow!!! The recommendations are surprisingly good.,257.0,31.0,0.9847430950030684,Positive
t043,2026-08-07 00:00:00,2026-08-07,0,Friday,carol,Web,United Kingdom,Cannot upload my file... error 500 again!!!,294.0,42.0,-0.9209898533299565,Negative
t044,2026-08-08 12:10:00,2026-08-08,12,Saturday,david,Mobile,Canada,Checking out the release notes at https://example.org/release,331.0,53.0,0.06900403555482626,Neutral
t045,2026-08-09 16:08:00,2026-08-09,16,Sunday,emma,Mobile,United States,Love how simple this feels now ❤️,368.0,64.0,0.9704372882843018,Positive
t046,2026-08-10 00:00:00,2026-08-10,0,Monday,frank,Mobile,United Kingdom,Notifications are way too frequent and annoying.,405.0,5.0,-0.8818041840568185,Negative
t047,2026-08-11 00:00:00,2026-08-11,0,Tuesday,grace,iOS,Canada,Nothing major changed for me today.,22.0,16.0,-0.1617431864142418,Neutral
t048,2026-08-12 12:10:00,2026-08-12,12,Wednesday,henry,iOS,United States,The new chart is beautiful and easy to understand.,59.0,27.0,0.9822680212091655,Positive
